id,sensor_id,household_id,sound_level,vibration_value,duration_ms,acceleration_x,acceleration_y,acceleration_z,received_at,sensor_timestamp
1,SENSOR-A101-01,1,55.0,700.0,3000,0.1,0.0,1.0,2026-05-11 12:07:49.702419,2026-05-11 12:00:00.000000
2,SENSOR-A101-01,1,57.37305,7.0,2000,,,,2026-05-11 12:27:04.047238,2026-05-11 12:27:04.047238
3,SENSOR-A101-01,1,41.99219,8.0,2000,,,,2026-05-11 12:27:07.880298,2026-05-11 12:27:07.880298
4,SENSOR-A101-01,1,72.50977,8.0,2000,,,,2026-05-11 12:27:10.898634,2026-05-11 12:27:10.898634
5,SENSOR-A101-01,1,47.11914,9.0,2000,,,,2026-05-11 12:27:14.156371,2026-05-11 12:27:14.156371
6,SENSOR-A101-01,1,50.29297,8.0,2000,,,,2026-05-11 12:27:16.829382,2026-05-11 12:27:16.829382
7,SENSOR-A101-01,1,64.69727,8.0,2000,,,,2026-05-11 12:27:19.477095,2026-05-11 12:27:19.477095
8,SENSOR-A101-01,1,43.70117,1007.0,2000,,,,2026-05-11 12:27:22.149364,2026-05-11 12:27:22.149364
9,SENSOR-A101-01,1,39.79492,7.0,2000,,,,2026-05-11 12:27:27.660475,2026-05-11 12:27:27.660475
10,SENSOR-A101-01,1,39.79492,8.0,2000,,,,2026-05-11 12:27:30.327622,2026-05-11 12:27:30.327622
11,SENSOR-A101-01,1,41.01563,8.0,2000,,,,2026-05-11 12:27:34.841073,2026-05-11 12:27:34.841073
12,SENSOR-A101-01,1,44.92188,8.0,2000,,,,2026-05-11 12:27:39.656586,2026-05-11 12:27:39.656586
13,SENSOR-A101-01,1,49.56055,8.0,2000,,,,2026-05-11 12:27:42.213323,2026-05-11 12:27:42.213323
14,SENSOR-A101-01,1,54.93164,8.0,2000,,,,2026-05-11 12:27:54.019330,2026-05-11 12:27:54.019330
15,SENSOR-A101-01,1,40.77148,8.0,2000,,,,2026-05-11 12:27:56.946036,2026-05-11 12:27:56.946036
16,SENSOR-A101-01,1,77.63672,8.0,2000,,,,2026-05-11 12:27:59.874157,2026-05-11 12:27:59.874157
17,SENSOR-A101-01,1,49.80469,10.0,2000,,,,2026-05-11 12:28:02.483012,2026-05-11 12:28:02.483012
18,SENSOR-A101-01,1,62.5,1007.0,2000,,,,2026-05-11 12:28:05.345008,2026-05-11 12:28:05.345008
19,SENSOR-A101-01,1,88.37891,8.0,2000,,,,2026-05-11 12:28:08.029099,2026-05-11 12:28:08.029099
20,SENSOR-A101-01,1,66.16211,8.0,2000,,,,2026-05-11 12:28:10.767270,2026-05-11 12:28:10.767270
21,SENSOR-A101-01,1,40.03906,8.0,2000,,,,2026-05-11 12:28:13.784248,2026-05-11 12:28:13.784248
22,SENSOR-A101-01,1,40.03906,8.0,2000,,,,2026-05-11 12:28:16.515635,2026-05-11 12:28:16.515635
23,SENSOR-A101-01,1,38.57422,1006.0,2000,,,,2026-05-11 12:28:20.226291,2026-05-11 12:28:20.226291
24,SENSOR-A101-01,1,44.92188,8.0,2000,,,,2026-05-11 12:28:22.672322,2026-05-11 12:28:22.672322
25,SENSOR-A101-01,1,67.13867,8.0,2000,,,,2026-05-11 12:28:25.130299,2026-05-11 12:28:25.130299
26,SENSOR-A101-01,1,38.81836,1006.0,2000,,,,2026-05-11 12:28:27.891779,2026-05-11 12:28:27.891779
27,SENSOR-A101-01,1,43.70117,7.0,2000,,,,2026-05-11 12:28:30.440933,2026-05-11 12:28:30.440933
28,SENSOR-A101-01,1,65.91797,9.0,2000,,,,2026-05-11 12:28:33.113742,2026-05-11 12:28:33.113742
29,SENSOR-A101-01,1,68.60352,7.0,2000,,,,2026-05-11 12:28:35.969694,2026-05-11 12:28:35.969694
30,SENSOR-A101-01,1,40.2832,8.0,2000,,,,2026-05-11 12:28:38.624159,2026-05-11 12:28:38.624159
31,SENSOR-A101-01,1,42.48047,8.0,2000,,,,2026-05-11 12:28:41.563314,2026-05-11 12:28:41.563314
32,SENSOR-A101-01,1,58.83789,1005.0,2000,,,,2026-05-11 12:28:44.579073,2026-05-11 12:28:44.579073
33,SENSOR-A101-01,1,62.01172,1006.0,2000,,,,2026-05-11 12:28:54.487490,2026-05-11 12:28:54.487490
34,SENSOR-A101-01,1,55.9082,1006.0,2000,,,,2026-05-11 12:28:57.261612,2026-05-11 12:28:57.261612
35,SENSOR-A101-01,1,52.97852,1005.0,2000,,,,2026-05-11 12:28:59.927315,2026-05-11 12:28:59.927315
36,SENSOR-A101-01,1,45.41016,7.0,2000,,,,2026-05-11 12:29:02.585915,2026-05-11 12:29:02.585915
37,SENSOR-A101-01,1,38.57422,1006.0,2000,,,,2026-05-11 12:29:05.266609,2026-05-11 12:29:05.266609
38,SENSOR-A101-01,1,53.22266,8.0,2000,,,,2026-05-11 12:29:08.119681,2026-05-11 12:29:08.119681
39,SENSOR-A101-01,1,60.79102,8.0,2000,,,,2026-05-11 12:29:10.781779,2026-05-11 12:29:10.781779
40,SENSOR-A101-01,1,59.81445,8.0,2000,,,,2026-05-11 12:29:13.647070,2026-05-11 12:29:13.647070
41,SENSOR-A101-01,1,48.82813,8.0,2000,,,,2026-05-11 12:29:16.515048,2026-05-11 12:29:16.515048
42,SENSOR-A101-01,1,57.86133,8.0,2000,,,,2026-05-11 12:29:19.242034,2026-05-11 12:29:19.242034
43,SENSOR-A101-01,1,43.94531,8.0,2000,,,,2026-05-11 12:29:21.838615,2026-05-11 12:29:21.838615
44,SENSOR-A101-01,1,58.10547,1006.0,2000,,,,2026-05-11 12:29:24.321687,2026-05-11 12:29:24.321687
45,SENSOR-A101-01,1,41.25977,8.0,2000,,,,2026-05-11 12:29:27.165794,2026-05-11 12:29:27.165794
46,SENSOR-A101-01,1,44.43359,8.0,2000,,,,2026-05-11 12:29:29.744352,2026-05-11 12:29:29.744352
47,SENSOR-A101-01,1,69.82422,7.0,2000,,,,2026-05-11 12:29:32.282555,2026-05-11 12:29:32.282555
48,SENSOR-A101-01,1,58.10547,8.0,2000,,,,2026-05-11 12:29:35.160022,2026-05-11 12:29:35.160022
49,SENSOR-A101-01,1,71.28906,8.0,2000,,,,2026-05-11 12:29:38.018436,2026-05-11 12:29:38.018436
50,SENSOR-A101-01,1,98.87695,8.0,2000,,,,2026-05-11 12:29:41.088947,2026-05-11 12:29:41.088947
51,SENSOR-A101-01,1,70.06836,1006.0,2000,,,,2026-05-11 12:29:43.599823,2026-05-11 12:29:43.599823
52,SENSOR-A101-01,1,82.27539,8.0,2000,,,,2026-05-11 12:29:46.208378,2026-05-11 12:29:46.208378
53,SENSOR-A101-01,1,56.39648,8.0,2000,,,,2026-05-11 12:29:48.873842,2026-05-11 12:29:48.873842
54,SENSOR-A101-01,1,62.74414,7.0,2000,,,,2026-05-11 12:29:51.864450,2026-05-11 12:29:51.864450
55,SENSOR-A101-01,1,40.03906,8.0,2000,,,,2026-05-11 12:29:54.616832,2026-05-11 12:29:54.616832
56,SENSOR-A101-01,1,112.793,7.0,2000,,,,2026-05-11 12:29:57.065826,2026-05-11 12:29:57.065826
57,SENSOR-A101-01,1,56.64063,11.0,2000,,,,2026-05-11 12:30:00.135323,2026-05-11 12:30:00.135323
58,SENSOR-A101-01,1,63.96484,1007.0,2000,,,,2026-05-11 12:30:03.206453,2026-05-11 12:30:03.206453
59,SENSOR-A101-01,1,59.81445,8.0,2000,,,,2026-05-11 12:30:06.078361,2026-05-11 12:30:06.078361
60,SENSOR-A101-01,1,56.15234,7.0,2000,,,,2026-05-11 12:30:08.765249,2026-05-11 12:30:08.765249
61,SENSOR-A101-01,1,60.30273,7.0,2000,,,,2026-05-11 12:30:11.399509,2026-05-11 12:30:11.399509
62,SENSOR-A101-01,1,53.4668,1005.0,2000,,,,2026-05-11 12:30:14.106985,2026-05-11 12:30:14.106985
63,SENSOR-A101-01,1,63.96484,8.0,2000,,,,2026-05-11 12:30:17.079807,2026-05-11 12:30:17.079807
64,SENSOR-A101-01,1,46.63086,1006.0,2000,,,,2026-05-11 12:30:19.698332,2026-05-11 12:30:19.698332
65,SENSOR-A101-01,1,39.79492,8.0,2000,,,,2026-05-11 12:30:22.389296,2026-05-11 12:30:22.389296
66,SENSOR-A101-01,1,56.39648,8.0,2000,,,,2026-05-11 12:30:25.623685,2026-05-11 12:30:25.623685
67,SENSOR-A101-01,1,71.77734,8.0,2000,,,,2026-05-11 12:30:29.261774,2026-05-11 12:30:29.261774
68,SENSOR-A101-01,1,56.39648,1006.0,2000,,,,2026-05-11 12:30:32.368385,2026-05-11 12:30:32.368385
69,SENSOR-A101-01,1,43.70117,8.0,2000,,,,2026-05-11 12:30:35.810178,2026-05-11 12:30:35.810178
70,SENSOR-A101-01,1,73.97461,8.0,2000,,,,2026-05-11 12:30:39.095347,2026-05-11 12:30:39.095347
71,SENSOR-A101-01,1,40.03906,1006.0,2000,,,,2026-05-11 12:30:43.311393,2026-05-11 12:30:43.311393
72,SENSOR-A101-01,1,66.65039,8.0,2000,,,,2026-05-11 12:30:46.459577,2026-05-11 12:30:46.459577
73,SENSOR-A101-01,1,72.50977,8.0,2000,,,,2026-05-11 12:30:49.498568,2026-05-11 12:30:49.498568
74,SENSOR-A101-01,1,64.94141,8.0,2000,,,,2026-05-11 12:30:52.154393,2026-05-11 12:30:52.154393
75,SENSOR-A101-01,1,44.67773,1006.0,2000,,,,2026-05-11 12:30:54.819425,2026-05-11 12:30:54.819425
76,SENSOR-A101-01,1,98.63281,8.0,2000,,,,2026-05-11 12:30:57.485565,2026-05-11 12:30:57.485565
77,SENSOR-A101-01,1,118.8965,7.0,2000,,,,2026-05-11 12:31:00.128353,2026-05-11 12:31:00.128353
78,SENSOR-A101-01,1,72.50977,8.0,2000,,,,2026-05-11 12:31:03.011471,2026-05-11 12:31:03.011471
79,SENSOR-A101-01,1,42.72461,8.0,2000,,,,2026-05-11 12:31:05.777088,2026-05-11 12:31:05.777088
80,SENSOR-A101-01,1,45.89844,1007.0,2000,,,,2026-05-11 12:31:08.596431,2026-05-11 12:31:08.596431
81,SENSOR-A101-01,1,39.79492,1006.0,2000,,,,2026-05-11 12:31:11.406224,2026-05-11 12:31:11.406224
82,SENSOR-A101-01,1,39.79492,1006.0,2000,,,,2026-05-11 12:31:16.121179,2026-05-11 12:31:16.121179
83,SENSOR-A101-01,1,60.30273,8.0,2000,,,,2026-05-11 12:31:18.882173,2026-05-11 12:31:18.882173
